Function,Package,Static,Example,Original Package,Observation,FuncType /Member/Static,Implemented In:,
Find,String,TRUE,,String,"Maybe a ""Searchable"" interface?",,,
FindNoCase,String,TRUE,,String,,,,
FindOneOf,String,TRUE,,String,,,,
FirstDayOfMonth,Date,TRUE,,Date,,,,
Fix,Math,TRUE,,Math,,,,
FormatBaseN,Number,TRUE,,Number,,,,
GenerateSecretKey,Encryption,TRUE,,Encryption,,,,
GetApplicationMetadata,Application,FALSE,,Application,"Application is a reserved name for a CFC, maybe Context?",,,
GetApplicationSettings,Application,FALSE,,Application,,,,
GetAuthUser,Authentication,TRUE,,Authentication,,,,
GetBaseTagData,CustomTag,TRUE,,CustomTag,,,,
GetBaseTagList,CustomTag,TRUE,,CustomTag,,,,
GetBaseTemplatePath,System,TRUE,,System,Or File,,,
GetBuiltInFunction,Function,TRUE,,Function,,,,
GetCanonicalPath,File,TRUE,,File,,,,
GetClassPath,System,TRUE,,System,,,,
GetClientVariablesList,,FALSE,,,Do not implement,,,
GetComponentMetaData,Object,TRUE,,Component,As distinct from Object (so as java.lang.Class is to java.lang.Object),,,
GetContextRoot,System,TRUE,,System,,,,
GetCPUUsage,System,TRUE,,System,,,,
GetCurrentContext,System,TRUE,,System,,,,
GetCurrentTemplatePath,File,TRUE,File::getCurrentTemplatepath(),File,Or System?,,,
GetDirectoryFromPath,File,TRUE,,File,,,,
GetEncoding,Request,TRUE,,HttpScope,An interface that FormScope and UrlScope implement,,,
GetFileFromPath,File,TRUE,,File,,,,
GetFileInfo,File,TRUE,,File,,,,
GetFreeSpace,System,TRUE,,System,,,,
GetFunctionCalledName,Function,TRUE,,Function,,,,
GetFunctionData,System,TRUE,,Function,As this is part of t,,,
GetFunctionKeywords,System,TRUE,,Function,No idea what this does. Docs no help,,,
GetFunctionList,System,TRUE,,Function,,,,
GetHTTPRequestData,Request,TRUE,,Request,,,,
GetHttpTimeString,DateTime,TRUE,,DateTime,"Probably do not implement, instead use a mask template with dateTimeFormat()",,,
GetK2ServerDocCount,,FALSE,,,Do not implement,,,
GetK2ServerDocCountLimit,,FALSE,,,Do not implement,,,
GetLocale,System,TRUE,,System,,,,
GetLocaleDisplayName,System,TRUE,,System,,,,
GetLocalHostIP,System,TRUE,,System,,,,
GetLuceeId,System,TRUE,,System,,,,
GetMemoryUsage,System,TRUE,,System,,,,
GetMetadata,Object,TRUE,,Object,,,,
GetMetricData,System,TRUE,,System,,,,
GetNumericDate,DateTime,TRUE,,DateTime,,,,
GetPageContext,Request,TRUE,,Context,,,,
GetPrinterList,System,TRUE,,System,,,,
GetProfileSections,Profile,TRUE,,lucee.util.ProfileFile,But probably don't implement,,,
GetProfileString,Profile,TRUE,,lucee.util.ProfileFile,,,,
GetReadableImageFormats,Image,TRUE,,lucee.util.Image,,,,
GetSOAPRequest,Soap,TRUE,,lucee.util.Soap,,,,
GetSOAPRequestHeader,Soap,TRUE,,lucee.util.Soap,,,,
GetSOAPResponse,Soap,TRUE,,lucee.util.Soap,,,,
GetSOAPResponseHeader,Soap,TRUE,,lucee.util.Soap,,,,
GetSystemFreeMemory,System,TRUE,,System,,,,
GetSystemTotalMemory,System,TRUE,,System,,,,
GetTagData,System,TRUE,,,"No idea what this does, docs don't help. Probably some sort of Reflection class",,,
GetTagList,System,TRUE,,,,,,
GetTempDirectory,System,TRUE,,System,,,,
GetTempFile,System,TRUE,,System,,,,
GetTemplatePath,System,TRUE,,System,,,,
GetTickCount,DateTime,TRUE,,DateTime,,,,
GetTimeZone,DateTime,TRUE,,DateTime,,,,
GetTimeZoneInfo,DateTime,TRUE,,DateTime,,,,
GetToken,String,TRUE,,String,,,,
GetTotalSpace,System,TRUE,,System,,,,
GetUserRoles,Authentication,TRUE,,Authentication,,,,
GetVariable,Variable,TRUE,,Variable,Unsure about this one,,,
GetVFSMetaData,File,TRUE,,lucee.util.Vfs,,,,
GetWriteableImageFormats,Image,TRUE,,lucee.util.Image,,,,
Hash,Crypto,TRUE,,,Unsure about this one maybe follow Java's lead,,,
Hash40,Crypto,TRUE,,,Unsure about this one maybe follow Java's lead,,,
HMAC,Crypto,TRUE,,,Unsure about this one maybe follow Java's lead,,,
Hour,DateTime,TRUE,,DateTime,,,,
HTMLCodeFormat,Encode,TRUE,,Encode,,,,
HTMLEditFormat,Encode,TRUE,,Encode,,,,
HtmlParse,HTML,TRUE,,lucee.util.Dom,,,,
IIf,,FALSE,,,Do not implement,,,
ImageAddBorder,Image,FALSE,,lucee.util.Image,Should be member functions (if they are not already,Member,,
ImageBlur,Image,FALSE,,lucee.util.Image,,Member,,
ImageClearRect,Image,FALSE,,lucee.util.Image,,Member,,
ImageCopy,Image,FALSE,,lucee.util.Image,,Member,,
ImageCrop,Image,FALSE,,lucee.util.Image,,Member,,
ImageDrawArc,Image,FALSE,,lucee.util.Image,,Member,,
ImageDrawBeveledRect,Image,FALSE,,lucee.util.Image,,Member,,
ImageDrawCubicCurve,Image,FALSE,,lucee.util.Image,,Member,,
ImageDrawImage,Image,FALSE,,lucee.util.Image,,Member,,
ImageDrawLine,Image,FALSE,,lucee.util.Image,,Member,,
ImageDrawLines,Image,FALSE,,lucee.util.Image,,Member,,
ImageDrawOval,Image,FALSE,,lucee.util.Image,,Member,,
ImageDrawPoint,Image,FALSE,,lucee.util.Image,,Member,,
ImageDrawQuadraticCurve,Image,FALSE,,lucee.util.Image,,Member,,
ImageDrawRect,Image,FALSE,,lucee.util.Image,,Member,,
ImageDrawRoundRect,Image,FALSE,,lucee.util.Image,,Member,,
ImageDrawText,Image,FALSE,,lucee.util.Image,,Member,,
ImageFilter,Image,FALSE,,lucee.util.Image,,Member,,
ImageFilterColorMap,Image,FALSE,,lucee.util.Image,,Member,,
ImageFilterCurves,Image,FALSE,,lucee.util.Image,,Member,,
ImageFilterKernel,Image,FALSE,,lucee.util.Image,,Member,,
ImageFilterWarpGrid,Image,FALSE,,lucee.util.Image,,Member,,
ImageFlip,Image,FALSE,,lucee.util.Image,,Member,,
ImageFonts,Image,FALSE,,lucee.util.Image,,Member,,
ImageFormats,Image,FALSE,,lucee.util.Image,,Member,,
ImageGetBlob,Image,FALSE,,lucee.util.Image,,Member,,
ImageGetBufferedImage,Image,FALSE,,lucee.util.Image,,Member,,
ImageGetEXIFMetadata,Image,FALSE,,lucee.util.Image,,Member,,
ImageGetEXIFTag,Image,FALSE,,lucee.util.Image,,Member,,
ImageGetHeight,Image,FALSE,,lucee.util.Image,,Member,,
ImageGetIPTCTag,Image,FALSE,,lucee.util.Image,,Member,,
ImageGetWidth,Image,FALSE,,lucee.util.Image,,Member,,
ImageGrayscale,Image,FALSE,,lucee.util.Image,,Member,,
ImageInfo,Image,FALSE,,lucee.util.Image,,Member,,
ImageNegative,Image,FALSE,,lucee.util.Image,,Member,,
ImageNew,Image,FALSE,,lucee.util.Image,,Member,,
ImageOverlay,Image,FALSE,,lucee.util.Image,,Member,,
ImagePaste,Image,FALSE,,lucee.util.Image,,Member,,
ImageRead,Image,FALSE,,lucee.util.Image,,Member,,
ImageReadBase64,Image,FALSE,,lucee.util.Image,,Member,,
ImageResize,Image,FALSE,,lucee.util.Image,,Member,,
ImageRotate,Image,FALSE,,lucee.util.Image,,Member,,
ImageRotateDrawingAxis,Image,FALSE,,lucee.util.Image,,Member,,
ImageScaleToFit,Image,FALSE,,lucee.util.Image,,Member,,
ImageSetAntialiasing,Image,FALSE,,lucee.util.Image,,Member,,
ImageSetBackgroundColor,Image,FALSE,,lucee.util.Image,,Member,,
ImageSetDrawingAlpha,Image,FALSE,,lucee.util.Image,,Member,,
ImageSetDrawingColor,Image,FALSE,,lucee.util.Image,,Member,,
ImageSetDrawingStroke,Image,FALSE,,lucee.util.Image,,Member,,
ImageSetDrawingTransparency,Image,FALSE,,lucee.util.Image,,Member,,
ImageSharpen,Image,FALSE,,lucee.util.Image,,Member,,
ImageShear,Image,FALSE,,lucee.util.Image,,Member,,
ImageShearDrawingAxis,Image,FALSE,,lucee.util.Image,,Member,,
ImageTranslate,Image,FALSE,,lucee.util.Image,,Member,,
ImageTranslateDrawingAxis,Image,FALSE,,lucee.util.Image,,Member,,
ImageWrite,Image,FALSE,,lucee.util.Image,,Member,,
ImageWriteBase64,Image,FALSE,,lucee.util.Image,,Member,,
ImageXORDrawingMode,Image,FALSE,,lucee.util.Image,,Member,,
IncrementValue,Number,TRUE,,Number,,,,
InputBaseN,Number,TRUE,,Number,,,,
Insert,String,TRUE,,String,,,,
Int,Number,TRUE,,Number,,,,
Invoke,Object,TRUE,,Component,,,,
IsArray,Array,TRUE,Array::is(),Array,Not convinced,,,
IsBinary,Binary,TRUE,,Binary,,,,
IsBoolean,Boolean,TRUE,,Boolean,,,,
IsClosure,Function,TRUE,,Function,,,,
IsCustomFunction,Function,TRUE,,Function,,,,
IsDate,DateTime,TRUE,,DateTime,,,,
IsDebugMode,System,TRUE,,System,,,,
IsDefined,Variable,TRUE,,Variable,,,,
IsEmpty,Object,TRUE,,Object,,,,
IsImage,Image,TRUE,,lucee.util.Image,,,,
IsImageFile,Image,TRUE,,lucee.util.Image,,,,
IsInstanceOf,Object,TRUE,,Object,,,,
IsIPInRange,Net,TRUE,,Net,,,,
IsIPv6,Net,TRUE,,Net,,,,
IsJson,Json,TRUE,,Json,,,,
IsLeapYear,DateTime,TRUE,,DateTime,,,,
IsLocalHost,Net,TRUE,,Net,,,,
IsNotMap,Collection,TRUE,,,"FFS, honestly?, I know rite!",,,
IsNull,Object,TRUE,,Object,,,,
IsNumeric,Number,TRUE,,Number,,,,
IsNumericDate,DateTime,TRUE,,DateTime,,,,
IsObject,Object,TRUE,SomeClass::is(someExpression),Object,,,,
IsPDFObject,PDF,TRUE,,lucee.util.Pdf,,,,
IsQuery,Query,TRUE,,Query,,,,
IsSimpleValue,Variable,TRUE,String::is(someExpression),String,Or mabye some generic simple type that String extends?,,,
IsSOAPRequest,Request,TRUE,,lucee.util.Soap,,,,
IsStruct,Struct,TRUE,,Struct,,,,
IsUserInAnyRole,Authentication,TRUE,,Authentication,,,,
IsUserInRole,Authentication,TRUE,,Authentication,,,,
IsUserLoggedIn,Authentication,TRUE,,Authentication,,,,
IsValid,Variable,TRUE,,,Split across relevant class types,,,
IsVideoFile,Video,TRUE,,lucee.util.VideoFile,(extends File),,,
IsWddx,Xml,TRUE,,Xml,,,,
IsXML,Xml,TRUE,,Xml,,,,
IsXmlAttribute,Xml,TRUE,,Xml,,,,
IsXmlDoc,Xml,TRUE,,Xml,,,,
IsXmlElem,Xml,TRUE,,Xml,,,,
IsXmlNode,Xml,TRUE,,Xml,,,,
